,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
34625,EJU9061,,4405ea,,,LPPR,LIMC,2021-07-01 10:53:33+00:00,2021-07-01 12:42:45+00:00,2021-07-01 00:00:00+00:00,41.25434875488281,-8.6827392578125,0.0,45.62370688228284,8.735298156738281,213.36
34887,MSR705,MS705,0100dc,SU-GCN,B738,HECA,LIMC,2021-07-01 10:58:38+00:00,2021-07-01 14:31:52+00:00,2021-07-01 00:00:00+00:00,30.16110177767479,31.42540283203125,914.4,45.62310791015625,8.735470655487806,220.98
35183,N525L,,a69c7b,N525L,C25B,LFMN,LIMC,2021-07-01 11:04:14+00:00,2021-07-01 11:37:17+00:00,2021-07-01 00:00:00+00:00,43.65161443160752,7.25555419921875,914.4,45.62031555175781,8.736207543349849,228.6
35618,RYR3LN,,4d2219,,,LIEE,LIMC,2021-07-01 11:11:19+00:00,2021-07-01 12:18:26+00:00,2021-07-01 00:00:00+00:00,39.2611083984375,9.043181046195652,0.0,45.62004089355469,8.736341522961128,220.98
36518,RYR2JV,,4d2263,,,LIEA,LIMC,2021-07-01 11:24:43+00:00,2021-07-01 12:14:53+00:00,2021-07-01 00:00:00+00:00,40.64799499511719,8.30078125,304.8,45.61775207519531,8.726360041920733,220.98
36618,RAM950X,,020066,CN-ROE,B738,GMMN,LIMC,2021-07-01 11:26:33+00:00,2021-07-01 13:51:57+00:00,2021-07-01 00:00:00+00:00,33.36900329589844,-7.592596435546852,0.0,45.61431884765625,8.737949278296494,243.84
36812,EJU61HN,,440097,,,LIEA,LIMC,2021-07-01 11:29:43+00:00,2021-07-01 12:24:52+00:00,2021-07-01 00:00:00+00:00,40.64973449707031,8.3016357421875,304.8,45.61976623535156,8.736408512766769,213.36
37167,EJU2816,,440484,,,LICJ,LIMC,2021-07-01 11:34:53+00:00,2021-07-01 12:58:29+00:00,2021-07-01 00:00:00+00:00,38.25141518802966,13.2130299443784,1524.0,45.6240234375,8.735202696265244,220.98
37691,DLH3PN,LH252,3c6595,D-AILU,A319,EDDF,LIMC,2021-07-01 11:42:03+00:00,2021-07-01 12:49:42+00:00,2021-07-01 00:00:00+00:00,50.0437720347259,8.569725655220651,0.0,45.61974994206832,8.736328125,213.36
38397,KAL8513,,71c251,HL8251,B77L,EDDF,LIMC,2021-07-01 11:52:36+00:00,2021-07-01 12:44:51+00:00,2021-07-01 00:00:00+00:00,50.01996056508209,8.526058712521115,0.0,45.62956237792969,8.733661930735519,220.98
38417,VJT486,,4d20e8,9H-VCF,CL35,LFMN,LIMC,2021-07-01 11:52:56+00:00,2021-07-01 12:23:03+00:00,2021-07-01 00:00:00+00:00,43.65729380462129,7.277330671037946,1219.2,45.62403274794756,8.735160827636719,220.98
38599,WZZ1827,,471f38,,,LICA,LIMC,2021-07-01 11:56:00+00:00,2021-07-01 13:27:29+00:00,2021-07-01 00:00:00+00:00,38.96664376986229,16.10028076171875,1524.0,45.62745666503906,8.734264838986281,228.6
38973,ABR553,,4ca8ad,EI-STM,B734,EDDP,LIMC,2021-07-01 12:01:33+00:00,2021-07-01 13:10:51+00:00,2021-07-01 00:00:00+00:00,51.4134086996822,12.24327087402344,0.0,45.61453609143273,8.737838745117188,243.84
40201,EJU14EZ,,440612,,,LIEO,LIMC,2021-07-01 12:17:38+00:00,2021-07-01 13:18:29+00:00,2021-07-01 00:00:00+00:00,40.86062622070312,9.4454345703125,914.4,45.62416076660156,8.735202696265244,228.6
40547,PROVA28,,30055d,,,LIME,LIMC,2021-07-01 12:22:08+00:00,2021-07-01 12:43:30+00:00,2021-07-01 00:00:00+00:00,45.75740490929555,9.779411315917969,609.6,45.63711392677436,8.741340637207031,335.28
